33,PORTFOLIO,,,,,,,,,,,,,,,,,,,,Actualización: ,20/4/2026 10:48:07,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,IOL,IOL,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,Dolar MEP,Dolar CCL,,,,
,Estados Unidos,,SPOTIFY INC,SPOT,28,$   31.914,"USD  21,73",$   893.590,"USD  608,38",$   27.800,"USD  19,75","-0,21%","0,12%",$   778.400,"USD  552,87",#N/A,"-USD  55,51","-12,89%","-9,12%",,"531,33","-0,98%",USD  1.465,"0,60%","10,73%",
,Estados Unidos,,UBER TECHNOLOGIES INC,UBER,4,$   63.831,"USD  43,09",$   255.323,"USD  172,35",$   56.000,"USD  39,77","-0,44%","-0,11%",$   224.000,"USD  159,10",#N/A,"-USD  13,25","-12,27%","-7,69%",,"76,22","-1,28%",USD  1.470,"0,97%","3,09%",
,Estados Unidos,,GLOBAL X URANIUM ETF,URA,6,$   16.498,"USD  10,97",$   98.990,"USD  65,85",$   16.140,"USD  11,46","-0,85%","-0,52%",$   96.840,"USD  68,78",#N/A,"USD  2,93","-2,17%","4,45%",,"55,32","-0,91%",#N/A,#N/A,"1,33%",
,Estados Unidos,,VISA INC,V,8,$   26.307,"USD  18,22",$   210.455,"USD  145,79",$   25.620,"USD  18,20","-0,70%","-0,37%",$   204.960,"USD  145,58",#N/A,"-USD  0,22","-2,61%","-0,15%",,"315,39","-0,75%",USD  1.463,"0,45%","2,82%",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TOTAL,,,,,,"USD  5.293,79",,,,,"$   7.255.767,50","USD  5.153,52",-$   87.749,"-USD  140,27",,,,,,#N/A,,"100,00%",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,,,,,,
,CRIPTOS,,,,,,"USD  10.624,06","USD  12.010,03","USD  1.385,97","13,05%",,,,,,,,,,,,,,,,
,RENTA VARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location,Industry,Company,Ticker,Shares,PPC Acción,PPC USD,Invest ($),Invest (USD),PA Acción,PA USD,TDY Change,TDY Change USD,Portf. Value ($),Capital (USD),Dif. ($),Dif. (USD),Dif. % ($),Rend. % (USD),,Stock Price,TDY USA (%),Dolar CCL Cedear,Spread CCL,% Cartera,
